Ward,travel_time_to_cities_2015
Githabai,18.297794329926663
Gither,216.0085428423754
Githiga,16.72617819057448
Githumu/Gichagi-ini,28.19387670666115
Githunguri,13.97094649463142
Githurai,0.0
Gitothua,3.32475808354968
Gituamba,32.6265334513722
Gitugi,28.233212024527635
God Jope/Kwa,10.466815393195759
Godoma,122.32984169064473
Gokeharaka/Getembw,52.72332560616502
Golbo,87.8072307774027
Gombato/Bongwe,8.801715399610135
Gongoni,76.3666972167286
Goreale,157.83770345551076
Gurar,207.13748322928322
Guticha,217.02529396919041
Gwassi North,108.63110784066073
Gwassi South,95.97622966859672
Habaswein,129.50491057521606
Hadado/Adhibohol,189.66678483204353
Harambee,0.0
Heillu,21.864660657476133
Hellsgate,21.92234296810815
Hindi,278.26777838868543
Hiriman,200.49129159945528
Homa Bay Arujo,38.42446043165469
Homa Bay Central,66.29994900160834
Homa Bay East,34.918081739983066
Homa Bay West,35.820821917808196
Hongwe,184.0558008831795
Hospital,1.290040889874558
Hulugho,506.2482186782779
Huruma,0.0
Ibeno,10.926968763748345
Ibrahim Ure,183.74475671925305
Ichagaki,28.006716850028944
Ichuni,15.627492957746481
Idakho Central,25.8771465185818
Idakho East,11.363074868541856
Idakho North,25.9248841826605
Idakho South,17.762905500705216
Iftin,51.6104876672405
Igambang'ombe,53.5170627610484
Igembe South,123.81717507010809
Igoji East,21.230398012327388
Igoji West,94.34767299448862
Igwamiti,46.193687927154095
Ijara,384.6226321248886
Ikanga/Kyatune,118.15973258706467
Ikinu,13.774498400697878
Ikombe,60.77259326512085
Ikutha,206.97577734988866
Ilchamus,88.49738729776426
Ildamat,66.70384963946567
Ildamat (Narok East),121.51179490076179
Ilima,59.510501919316276
Ilkerin,86.9134645315256
Illeret,364.33102263022266
Ilmaroro,122.18648890594022
Ilmotiook,59.76933527069966
Iloodokilani,191.5197269417689
Imara Daima,0.5217391304347826
Imbirikani/Eselenkei,169.59357884583926
Ingotse/Matiha,10.830463705732733
Inoi,94.73490439811823
Iria-ini,76.04700792021121
Iriaini,86.17906780593347
Isibania,30.48350612629595
Isukha West,7.421839729119636
Ithanga,54.292279579716755
Ithiru,17.03801169590643
Itibo,23.742343070858183
Ivingoni/Nzambani,179.05952952806618
Jara Jara,314.85398384484347
Jara Jila,257.5756805932229
Jaribuni,35.03435500168408
Jepkoyai,8.300890092879257
Jibana,26.034424883048242
Jilore,75.61619256418957
Jomvu Kuu,3.9499351911860003
Juja,8.51774039521046
Junda,0.8121457489878544
Junju,20.610489735128336
KEEKONYOKIE (Narok East),98.39124676217374
Kaaleng/Kaikor,733.4431985047611
Kabare,77.06189512688618
Kabarnet,59.34857226472676
Kabartonjo,83.61862728105577
Kabaru,101.57906528719226
Kabatini,13.833981631550516
Kabazi,31.168016510835223
Kabete,1.6518822213939626
Kabianga,41.30416826738378
Kabiemit,45.195223438212494
Kabiri,40.61275787187838
Kabiro,0.0
Kabisaga,33.702211257309926
Kabiyet,32.57838076329139
Kabondo East,30.00688832239519
