Ward,density_2015,density_2020,delta_2015_2020
Banane,7.233908766237179,11.210638072055794,3.9767293058186146
Bangale,4.783279494062238,6.125712100279466,1.342432606217228
Banissa,84.5026217949812,130.9566295079556,46.4540077129744
Banja,992.500659819089,1127.6877700760738,135.18711025698474
Baragwi,710.2249817761152,770.5563123175003,60.331330541385114
Malindi Town,2585.7232554014477,2989.764463507908,404.04120810646054
Bartabwa,28.852816665367133,34.52943166536577,5.6766149999986375
Tirioko,108.10733889977698,129.37679592839305,21.269457028616074
Barut,689.754248310166,825.4591804070511,135.70493209688516
Barwago,972.7349613603408,1507.4809609954473,534.7459996351065
Bassi Bogetaorio,968.8162383287575,1078.6428938194924,109.82665549073488
Bassi Central,873.0253562906971,971.8374861365681,98.81212984587103
Basuba,0.8625156833598671,1.0076710828686974,0.14515539950883039
Batei,124.3848776405329,148.856842325456,24.471964684923094
Benane,41.96605759364629,65.01842798086452,23.052370387218225
Biashara,1299.0039264106952,1498.363715589629,199.35978917893385
Bibirioni,1068.7370394697036,1159.5247225594344,90.78768308973076
Bidii,1144.6941350407458,1369.905708584185,225.21157354343927
Birongo,940.062446994838,1046.4620688559382,106.39962186110029
Bobaracho,1491.3446994388325,1660.140408176387,168.79570873755438
Bobasi Chache,1000.221482003643,1113.430130689074,113.20864868543106
Bobasi/Boitangare,899.0732559267944,1000.8335760122274,101.76032008543291
Bofu,16206.39801150591,18738.785342485473,2532.3873309795636
Bogeka,1026.1425204190339,1142.2850235204382,116.14250310140437
Bogertenga,859.7134288113223,957.0188743733415,97.30544556201926
Bogiakumu,1471.8339627619418,1638.4213954635313,166.58743270158948
Bogichora,962.1155671719287,1071.011250941525,108.89568376959642
Bogisero,796.9103118965685,887.1074721701833,90.19716027361483
Boikanga,787.3692484909492,876.4865224109541,89.11727392000489
Boito,265.6508398891486,317.91602082666134,52.26518093751275
Bokeira,815.2334974117001,907.6584612177837,92.42496380608361
Bokeire,834.3005139364005,928.7296306295339,94.42911669313332
Bokimonge,873.5434666499896,972.7165641345214,99.17309748453181
Bokoli,644.7515625614888,732.4204722426676,87.66890968117889
Bomani,2217.686715799814,2564.219201553968,346.5324857541541
Bomariba,958.4064948609966,1066.8823651036396,108.47587024264294
Bomwagamo,766.4765298198796,853.2290893247398,86.75255950486019
Bonyamatuta,1052.4115489882752,1171.5272551748214,119.11570618654628
Boochi Borabu,1114.0666245185157,1240.3098518635375,126.24322734502175
Boochi/Tendere,1165.4115076613634,1297.3169641910836,131.90545652972014
Borabu Masaba,1033.1662602719894,1150.1037198985805,116.93745962659114
Borabu/Chitago,965.2500262000303,1074.585901375367,109.3358751753367
Bosamaro,943.0911257630911,1049.8335538082933,106.74242804520225
Bosoti/Sengera,903.1780043035163,1005.4029165386498,102.2249122351335
Bukembe East,608.4661649919226,691.2012369254174,82.73507193349485
Bukembe West,758.3736274747005,861.4920842511013,103.11845677640088
Bukhayo Central,456.07510374693766,518.0890829271506,62.013979180212914
Bukhayo East,429.7050498585338,488.13340946812144,58.42835960958763
Bukhayo North/ Walat,422.1526423678413,479.55407367984407,57.401431312002785
Bukhayo West,642.7331325294771,730.6140352782526,87.8809027487755
Bukira Central/Ikerege,377.45767245788255,420.1796834590468,42.722011001164276
Bukira East,597.0586871530197,664.6523572601176,67.59367010709786
Bulla Pesa,2213.4226947898837,2448.5561576458626,235.1334628559789
Bumula,557.7433584310306,633.5814890979223,75.83813066689163
Bunyala Central,598.7378642981729,680.1501477733965,81.4122834752236
Bunyala East,579.9718931771639,658.8325084921112,78.86061531494727
Bunyala North,403.25005068616554,458.0774503204207,54.82739963425519
Bunyala South,209.4397801395978,237.90242953623317,28.462649396635385
Bunyala West,467.94843959536286,531.6024000015481,63.653960406185206
Bura,9.842232241276712,14.053266150333398,4.211033909056686
Burat,25.843931554189343,28.64553291562478,2.801601361435438
Burder,5.991530726210029,9.285281939976814,3.293751213766785
